4    -2572.393252564595    -2572.3986900461828
6    -2572.393252564593    -2572.4079511537916
8    -2572.3932525645932    -2572.457155928917
10    -2572.393252564592    -2572.4797855438633
12    -2572.3932525645914    -2572.488134786202
14    -2572.3932525645932    -2572.501575188469
